livro;palavra;tfidf
genesis;profecia;0
genesis;amar;0
genesis;Jeová;0
genesis;batismo;0
genesis;anjos;9,37833E-06
genesis;Jesus;0
genesis;Cristo;0
genesis;Abraão;0,000311829
genesis;Cruz;0
genesis;sacerdote;9,37833E-06
genesis;mandamento;0
genesis;templo;0
genesis;egito;0,000180533
exodo;profecia;0
exodo;amar;0
exodo;Jeová;0,000325734
exodo;batismo;0
exodo;anjos;0
exodo;Jesus;0
exodo;Cristo;0
exodo;Abraão;2,48589E-05
exodo;Cruz;0
exodo;sacerdote;2,20968E-05
exodo;mandamento;1,22853E-05
exodo;templo;0
exodo;egito;0,00032869
mateus;profecia;1,50102E-05
mateus;amar;1,50102E-05
mateus;Jeová;0
mateus;batismo;3,00204E-05
mateus;anjos;5,13267E-05
mateus;Jesus;0,001615597
mateus;Cristo;0,000149267
mateus;Abraão;2,76374E-05
mateus;Cruz;7,50511E-05
mateus;sacerdote;3,15856E-05
mateus;mandamento;2,63413E-05
mateus;templo;8,78042E-05
mateus;egito;1,57928E-05
marcos;profecia;0
marcos;amar;2,40747E-05
marcos;Jeová;0
marcos;batismo;9,62988E-05
marcos;anjos;3,16624E-05
marcos;Jesus;0,001858929
marcos;Cristo;9,85796E-05
marcos;Abraão;6,33247E-06
marcos;Cruz;0,000120373
marcos;sacerdote;5,69923E-05
marcos;mandamento;5,63312E-05
marcos;templo;0,000112662
marcos;egito;0
joao;profecia;2,56939E-05
joao;amar;1,60587E-05
joao;Jeová;0
joao;batismo;3,21174E-05
joao;anjos;2,53439E-05
joao;Jesus;0,001132885
joao;Cristo;0,000911193
joao;Abraão;4,39295E-05
joao;Cruz;5,13878E-05
joao;sacerdote;4,22399E-05
joao;mandamento;6,19987E-05
joao;templo;7,70287E-05
joao;egito;1,52064E-05
apocalipse;profecia;0,000194895
apocalipse;amar;0
apocalipse;Jeová;0
apocalipse;batismo;0
apocalipse;anjos;0,00016844
apocalipse;Jesus;0,000228013
apocalipse;Cristo;0,000114007
apocalipse;Abraão;0
apocalipse;Cruz;0
apocalipse;sacerdote;0
apocalipse;mandamento;0
apocalipse;templo;1,62866E-05
apocalipse;egito;7,32346E-06
